2025-12-31,00:38:41,CLS-7454D,8540.0
2025-12-31,00:43:19,CLS-3298R,19673.0
2025-12-31,00:47:23,CLS-9160D,1647.0
2025-12-31,00:47:37,CLS-5477A,2196.0
2025-12-31,08:57:56,CLS-3902H,18119.0
2025-12-31,12:10:45,CLS-5713M,17567.0
2025-12-31,12:14:56,CLS-6324X,599.0
2025-12-31,12:15:38,CLS-1615W,499.0
2025-12-31,12:15:55,CLS-8740U,349.0
2025-12-31,12:16:08,CLS-5060L,349.0
2025-12-31,12:16:24,CLS-2266A,349.0
2025-12-31,12:16:39,CLS-8783C,349.0
2025-12-31,12:17:26,CLS-2168T,599.0
2025-12-31,12:19:26,CLS-2065C,2697.0
2025-12-31,12:20:42,CLS-4821E,1249.0
